Datetime,Close,High,Low,Open,Volume
2026-08-04 20:00:00-04:00,29848.75,29877.0,29810.0,29835.5,9420
2026-08-04 21:00:00-04:00,29869.0,29887.5,29797.0,29849.25,8722
2026-08-04 22:00:00-04:00,29860.75,29889.25,29842.25,29870.0,4984
2026-08-04 23:00:00-04:00,29890.0,29893.75,29855.75,29859.0,4326
2026-08-05 00:00:00-04:00,29902.75,29917.0,29859.75,29896.75,4495
2026-08-05 01:00:00-04:00,29980.5,29985.25,29895.0,29902.5,6937
2026-08-05 02:00:00-04:00,29969.75,29990.0,29925.5,29980.0,6095
2026-08-05 03:00:00-04:00,29903.25,29987.0,29885.0,29969.0,7196
2026-08-05 04:00:00-04:00,29836.5,29926.0,29797.75,29905.0,10246
2026-08-05 05:00:00-04:00,29857.5,29893.5,29814.25,29837.75,7813
2026-08-05 06:00:00-04:00,29862.25,29871.75,29833.75,29857.25,5159
2026-08-05 07:00:00-04:00,29919.5,29943.5,29865.5,29865.5,9693
2026-08-05 08:00:00-04:00,29915.0,29950.0,29891.25,29919.5,11622
2026-08-05 09:00:00-04:00,30048.75,30074.0,29894.75,29917.25,85796
2026-08-05 10:00:00-04:00,29848.25,30048.5,29788.0,30048.5,106914
2026-08-05 11:00:00-04:00,29739.0,29890.75,29713.25,29849.0,67866
2026-08-05 12:00:00-04:00,29808.25,29839.75,29702.0,29738.25,48615
2026-08-05 13:00:00-04:00,29757.0,29819.75,29734.25,29809.75,29225
2026-08-05 14:00:00-04:00,29725.75,29788.5,29722.75,29756.75,26882
2026-08-05 15:00:00-04:00,29607.5,29779.25,29592.75,29726.75,52373
2026-08-05 16:00:00-04:00,29600.25,29618.25,29530.75,29607.0,29868
2026-08-05 18:00:00-04:00,29623.25,29679.5,29563.5,29569.5,0
2026-08-05 19:00:00-04:00,29583.5,29649.5,29566.0,29622.75,6134
2026-08-05 20:00:00-04:00,29537.5,29608.0,29535.25,29584.25,9474
2026-08-05 21:00:00-04:00,29498.0,29540.75,29454.25,29539.25,10509
2026-08-05 22:00:00-04:00,29593.0,29621.0,29490.75,29497.75,8708
2026-08-05 23:00:00-04:00,29564.0,29608.5,29525.0,29593.75,5957
